year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2021,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,91.3,69.6,3509.0,3475.0,3567.0,3500.0,3200.0,3940.0
2021,Nanyang Technological University,College of Science,Biological Sciences / Biomedical Sciences,96.8,81.7,3470.0,3400.0,3569.0,3500.0,3260.0,3800.0
2021,Nanyang Technological University,College of Science,Biomedical Sciences and Chinese Medicine # ^,90.9,77.3,3023.0,3100.0,3119.0,3100.0,2890.0,3300.0
2021,Nanyang Technological University,College of Science,Chemistry and Biological Chemistry,90.2,74.4,3367.0,3400.0,3501.0,3400.0,3100.0,3700.0
2021,Nanyang Technological University,College of Science,Environmental Earth Systems Sciences ^,100.0,91.3,3810.0,3892.0,3888.0,3950.0,3500.0,4300.0
2021,Nanyang Technological University,College of Science,Mathematical Sciences / Mathematical Sciences and Economics,91.0,75.6,3939.0,3750.0,4039.0,3806.0,3500.0,4500.0
2021,Nanyang Technological University,College of Science,Physics and Applied Physics,84.5,69.0,3710.0,3570.0,3793.0,3600.0,3384.0,4000.0
2021,Nanyang Technological University,Sports Science and Management,Sports Science and Management,86.2,55.4,3292.0,3300.0,3438.0,3300.0,3100.0,3620.0
2021,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100.0,100.0,3563.0,3754.0,3718.0,3780.0,3700.0,3900.0
2021,Nanyang Technological University,National Institute of Education (NIE),Science (with Education) ^,100.0,100.0,3578.0,3776.0,3796.0,3904.0,3727.0,4000.0
2021,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine #,100.0,100.0,4702.0,4700.0,5404.0,5500.0,5200.0,5800.0
2021,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,91.4,70.0,3405.0,3200.0,3600.0,3200.0,2850.0,4100.0
2021,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),88.8,68.3,3619.0,3500.0,3731.0,3650.0,3400.0,3983.0
2021,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,92.5,78.2,3757.0,3531.0,3850.0,3600.0,3400.0,4100.0
